time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3716, 2.183800, 0, 8, 2, 2, 3
1, 3556, 2.306243, 0, 12, 2, 2, 3
2, 3225, 2.596899, 0, 12, 2, 2, 3
3, 3718, 2.171060, 0, 6, 2, 2, 3
4, 3690, 2.194309, 0, 7, 2, 2, 3
5, 3552, 2.310248, 0, 8, 2, 2, 3
6, 3635, 2.239340, 1, 8, 2, 2, 3
7, 3614, 2.257886, 1, 7, 2, 2, 3
8, 3644, 2.237925, 0, 7, 2, 2, 3
9, 3023, 2.799537, 0, 11, 2, 2, 3
10, 3670, 2.218801, 1, 7, 2, 2, 3
11, 3615, 2.265837, 1, 9, 2, 2, 3
12, 3287, 2.539398, 0, 19, 2, 2, 3
13, 3316, 2.504222, 0, 17, 2, 2, 3
14, 3582, 2.285036, 0, 6, 2, 2, 3
15, 3513, 2.330487, 1, 7, 2, 2, 3
16, 3533, 2.316728, 1, 6, 2, 2, 3
17, 3493, 2.351274, 1, 7, 2, 2, 3
18, 3447, 2.395126, 1, 8, 2, 2, 3
19, 3440, 2.378198, 1, 7, 2, 2, 3
20, 2805, 3.011408, 0, 54, 2, 3, 4
21, 3151, 2.665820, 0, 13, 2, 2, 3
22, 3387, 2.437260, 0, 18, 2, 2, 3
23, 3521, 2.336552, 0, 7, 2, 2, 3
24, 3015, 2.794362, 0, 12, 2, 2, 3
25, 2263, 3.893504, 1, 145, 2, 3, 4
26, 3448, 2.384571, 1, 6, 2, 2, 3
27, 3502, 2.334095, 0, 9, 2, 2, 3
28, 3465, 2.376912, 1, 6, 2, 2, 3
29, 3295, 2.519272, 0, 72, 2, 2, 3
30, 3464, 2.368649, 0, 14, 2, 2, 3
31, 3479, 2.364185, 0, 9, 2, 2, 3
32, 3517, 2.328689, 0, 8, 2, 2, 3
33, 3482, 2.357553, 0, 25, 2, 2, 3
34, 3661, 2.221251, 1, 6, 2, 2, 3
35, 3719, 2.173703, 1, 7, 2, 2, 3
36, 3699, 2.200054, 1, 5, 2, 2, 3
37, 3431, 2.382104, 1, 54, 2, 2, 3
38, 3630, 2.245179, 0, 8, 2, 2, 3
39, 3651, 2.234730, 0, 7, 2, 2, 3
40, 3505, 2.344650, 1, 11, 2, 2, 3
41, 3623, 2.252277, 1, 11, 2, 2, 3
42, 3377, 2.442701, 0, 14, 2, 2, 3
43, 3724, 2.186627, 0, 7, 2, 2, 3
44, 3788, 2.135164, 1, 7, 2, 2, 3
45, 3699, 2.190051, 1, 6, 2, 2, 3
46, 3474, 2.374496, 0, 64, 2, 2, 3
47, 3672, 2.213508, 0, 6, 2, 2, 3
48, 3659, 2.242416, 0, 6, 2, 2, 3
49, 3539, 2.319299, 0, 8, 2, 2, 3
50, 3706, 2.183216, 0, 6, 2, 2, 3
51, 3692, 2.200163, 1, 13, 2, 2, 3
52, 3561, 2.296546, 0, 14, 2, 2, 3
53, 3746, 2.158035, 1, 6, 2, 2, 3
54, 3593, 2.278597, 0, 18, 2, 2, 3
55, 3707, 2.193688, 1, 7, 2, 2, 3
56, 3758, 2.164715, 1, 8, 2, 2, 3
57, 3689, 2.209542, 1, 7, 2, 2, 3
58, 3598, 2.285158, 1, 7, 2, 2, 3
59, 3392, 2.418337, 1, 70, 2, 2, 3
60, 2, 2.000000, 2, 2, 2, 2, 2
